Usuario,Quantidade_Retweets,Quantidade_Likes,Quantidade_Publicacoes,Maior_N_Retweets,Maior_N_Likes,Seguidores,Amigos,Verificado,RN,LN,MACRO,Personalidade
souljaboy,4516,25850,5,360,4321,5514751,151,True,903.2,5170.0,NT,ENTP
AriDavidPaul,1667,22311,4,217,2120,215280,1896,True,416.75,5577.75,,
AnitaPosch,178,806,1,178,806,13326,583,False,178.0,806.0,,
yemencankan,249,5658,1,249,5658,10863,905,False,249.0,5658.0,,
MarketWatch,905,3410,4,185,815,4244684,213,True,226.25,852.5,,
beatsgordy,165,1253,1,165,1253,252,1008,False,165.0,1253.0,,
thepaulosophy,921,5182,1,921,5182,1251,473,False,921.0,5182.0,,
hasufl,391,4305,1,391,4305,158328,995,False,391.0,4305.0,,
ValaAfshar,2286,11434,4,1416,8009,643571,285,True,571.5,2858.5,,
jackdanger,7214,30175,3,554,4018,4768,1819,False,2404.6666666666665,10058.333333333334,,
TeminatorTrader,501,1076,1,501,1076,9228,752,False,501.0,1076.0,,
skyler_fs,221,2988,1,221,2988,4465,881,False,221.0,2988.0,,
bokujyuumai,303,1111,2,140,521,67924,174,False,151.5,555.5,,
FinancialGory,146,312,1,146,312,23094,77,False,146.0,312.0,,
saskilla,1277,433,1,1277,433,31938,5207,True,1277.0,433.0,,
KoichiTsunoda,431,3872,1,431,3872,12061,1212,False,431.0,3872.0,,
peris_ja,755,3896,1,755,3896,3106,553,False,755.0,3896.0,,
Mediavenir,3463,31546,7,255,2649,2094413,4,False,494.7142857142857,4506.571428571428,SP,ISTP
foosgonewild,219,1370,1,219,1370,117895,0,False,219.0,1370.0,,
RyanRotolo,525,573,1,525,573,9288,263,False,525.0,573.0,,
jordanbpeterson,3961,26212,7,365,1871,2531203,493,True,565.8571428571429,3744.5714285714284,NF,INFP
DanielaCambone,311,2966,1,311,2966,62099,781,True,311.0,2966.0,,
bitcoinclips,246,738,1,246,738,4038,843,False,246.0,738.0,,
MorningBrew,1795,15500,7,204,760,381817,1633,True,256.42857142857144,2214.285714285714,NF,INFJ
WayneVaughan,152,1282,1,152,1282,11552,1387,False,152.0,1282.0,,
CryptoTrendsz,976,6529,3,255,2557,66221,7,False,325.3333333333333,2176.3333333333335,,
KimDotcom,4526,27419,14,212,1339,781321,18388,True,323.2857142857143,1958.5,NF,INFJ
genesimmons,2192,14750,4,677,4958,980378,367,True,548.0,3687.5,,
EricBalchunas,3531,14427,10,351,1315,101420,2555,True,353.1,1442.7,NF,ENFP
TheIrishCrypto,610,453,1,610,453,518,54,False,610.0,453.0,,
TurnerNovak,1220,14917,1,1220,14917,122533,2108,False,1220.0,14917.0,,
MattWallace888,19384,90533,29,460,1322,594211,2635,True,668.4137931034483,3121.8275862068967,NF,ENFP
goto_nikkei,6689,27497,21,498,2384,359514,1,True,318.5238095238095,1309.3809523809523,NF,INFJ
noshitcoins,154,734,1,154,734,11275,5361,False,154.0,734.0,,
EricHolthaus,657,3924,3,358,2797,496239,20636,True,219.0,1308.0,,
lindsaylohan,1995,9097,2,536,4683,8270713,649,True,997.5,4548.5,,
renoomokri,32206,68062,34,980,1813,1393197,26,True,947.2352941176471,2001.8235294117646,NF,INFJ
renprotocol,252,909,1,252,909,119214,1146,False,252.0,909.0,,
marcvanderchijs,2048,15806,4,264,2667,15885,1213,False,512.0,3951.5,,
BadgerDAO,194,915,1,194,915,44473,1,False,194.0,915.0,,
omg_keynes,288,3186,1,288,3186,2681,309,False,288.0,3186.0,,
machineiv,413,914,1,413,914,13001,3389,False,413.0,914.0,,
DreadBong0,4214,7038,7,504,668,74075,321,False,602.0,1005.4285714285714,NT,INTP
BrainHarrington,693,2744,2,169,843,18059,4858,False,346.5,1372.0,,
moderate_ustaz,113,161,1,113,161,62090,7732,False,113.0,161.0,,
997_Carrera,301,1230,1,301,1230,123,117,False,301.0,1230.0,,
BrightJaye,222,719,1,222,719,90,73,False,222.0,719.0,,
AfricaFactsZone,1278,4091,3,154,682,657987,1,False,426.0,1363.6666666666667,,
Enitan_sam,204,268,2,57,60,17134,13426,False,102.0,134.0,,
dergigi,2701,18722,8,154,1503,59466,1006,False,337.625,2340.25,NF,INFP
tradingview,817,3151,2,379,1479,407343,3920,True,408.5,1575.5,,
DogecoinRise,1362,4040,3,449,1812,487701,422,False,454.0,1346.6666666666667,,
shanstory,187,1157,1,187,1157,664,1473,False,187.0,1157.0,,
RafaelH117,4464,25295,1,4464,25295,133521,800,False,4464.0,25295.0,,
dilutionproof,479,2294,2,164,746,26736,393,False,239.5,1147.0,,
Joeingram1,276,1164,1,276,1164,61764,1072,False,276.0,1164.0,,
krugermacro,1034,8169,4,271,1812,126295,1445,False,258.5,2042.25,NF,ENFP
themotleyfool,3470,19980,1,3470,19980,880807,4314,True,3470.0,19980.0,,
Izzy_Lu2xx,204,274,1,204,274,1778,4992,False,204.0,274.0,,
ZevMintz,582,3497,1,582,3497,1375,469,False,582.0,3497.0,,
HappyShillmore,396,4829,2,227,3174,3107,429,False,198.0,2414.5,,
nic__carter,10761,71567,26,1054,6077,318359,2925,True,413.88461538461536,2752.576923076923,NT,INTJ
LayahHeilpern,8846,83724,20,238,858,222168,981,False,442.3,4186.2,NF,INFP
Timccopeland,160,2722,1,160,2722,30160,4805,True,160.0,2722.0,,
shoegalnyc,1022,10761,1,1022,10761,1531,863,False,1022.0,10761.0,,
yocchan60,6730,5560,3,5428,2929,143530,2593,False,2243.3333333333335,1853.3333333333333,,
KatieTheRussian,159,1887,1,159,1887,45945,1217,False,159.0,1887.0,,
dannydiekroeger,689,3774,4,175,1844,13478,2153,False,172.25,943.5,NF,INFP
abdulalimuk,589,2945,1,589,2945,9731,4036,False,589.0,2945.0,,
RobinhoodApp,1299,4835,2,839,2667,955256,18,True,649.5,2417.5,,
deech,118,729,1,118,729,5158,1309,False,118.0,729.0,,
JoannaBlackhart,703,1449,1,703,1449,3002,631,False,703.0,1449.0,,
C_Angermayer,314,1174,1,314,1174,21970,1662,False,314.0,1174.0,,
muneeb,1195,5904,6,160,1005,86766,522,True,199.16666666666666,984.0,NF,ENFP
anilsaidso,2535,11934,7,426,1756,27935,660,False,362.14285714285717,1704.857142857143,NT,INTP
KinseyGrant,1045,14909,2,857,12657,27597,432,True,522.5,7454.5,,
metroadelantado,244,3984,1,244,3984,600344,897,True,244.0,3984.0,,
Andrew_J_Howard,570,3451,2,310,1552,5109,1063,False,285.0,1725.5,,
iamkoshiek,156,782,1,156,782,203582,18615,False,156.0,782.0,,
CryptKeeperBTC,4432,4476,7,485,547,75013,79876,False,633.1428571428571,639.4285714285714,,
markets,1956,7730,7,278,758,1224670,255,True,279.42857142857144,1104.2857142857142,NF,INFJ
riki_sakamoto,1224,1178,4,354,341,3649,2838,False,306.0,294.5,,
LEON9750,269,34,1,269,34,1364,1982,False,269.0,34.0,,
CathieDWood,3527,22214,5,1352,7607,1346359,360,True,705.4,4442.8,NF,INFP
news_of_bsc,4819,4691,3,822,797,470652,216,False,1606.3333333333333,1563.6666666666667,,
MadamClinton,693,3905,1,693,3905,3286,413,False,693.0,3905.0,,
CryptoMichNL,19200,129984,32,1135,1200,586383,786,True,600.0,4062.0,NF,INFP
llamasoft_ox,545,1111,1,545,1111,14753,345,False,545.0,1111.0,,
StarkWareLtd,176,640,1,176,640,115912,19,True,176.0,640.0,,
umbrel,1097,6253,4,194,820,42372,1,False,274.25,1563.25,,
digitalassetbuy,4465,14516,11,344,1248,261632,5371,True,405.90909090909093,1319.6363636363637,NF,INFP
MartiniGuyYT,7177,20098,9,355,1918,329898,1262,True,797.4444444444445,2233.1111111111113,NT,INTP
Nicholas_Merten,908,7558,3,233,1011,113938,877,True,302.6666666666667,2519.3333333333335,,
cryptowat_ch,632,2095,2,161,815,36793,296,False,316.0,1047.5,,
plan_marcus,3741,16013,6,272,905,16660,1998,False,623.5,2668.8333333333335,NF,INFJ
LukeGromen,1199,9106,4,189,1113,158477,1818,False,299.75,2276.5,,
vogon,1067,2908,2,947,2569,6358,1049,False,533.5,1454.0,,
satsie,146,1455,1,146,1455,15042,1369,False,146.0,1455.0,,
QueTesoro,355,2355,1,355,2355,2510,8,False,355.0,2355.0,,
CoinCornerMolly,1575,13588,6,219,3996,28611,320,False,262.5,2264.6666666666665,NT,INTP
elliotrades,10128,30610,10,517,3797,693868,1093,True,1012.8,3061.0,NF,INFJ
Cryptobabushka,1464,1516,2,672,688,43107,6332,False,732.0,758.0,,
AsennaWealth,1161,16368,1,1161,16368,108972,965,True,1161.0,16368.0,,
jamesviggy,941,4995,2,190,1582,3779,2531,False,470.5,2497.5,,
DeFiHulk,1668,1730,2,846,877,12253,269,False,834.0,865.0,,
KetanJ0,1552,4410,3,430,1249,58918,9265,True,517.3333333333334,1470.0,,
BitcoinCameron,474,2572,1,474,2572,5099,708,False,474.0,2572.0,,
FirstSquawk,585,2528,3,236,1098,235973,243,False,195.0,842.6666666666666,,
Dogecoinrich,350,1667,1,350,1667,129831,96,False,350.0,1667.0,,
TCR_news_,130,204,1,130,204,1288,556,False,130.0,204.0,,
CNN,2047,7149,5,1073,3778,57739644,1104,True,409.4,1429.8,NF,INFJ
JohnOdetteMD,266,2421,1,266,2421,1396,604,False,266.0,2421.0,,
philthatremains,131,1096,1,131,1096,86763,4326,True,131.0,1096.0,,
ohlalamilala,171,6558,1,171,6558,7345,368,False,171.0,6558.0,,
SantiDiPaolo,161,2380,1,161,2380,46388,966,True,161.0,2380.0,,
ivancarrino,216,2273,1,216,2273,94879,332,True,216.0,2273.0,,
dimacgarcia,897,8743,3,321,2652,219939,1350,False,299.0,2914.3333333333335,,
ComplexMusic,143,1039,1,143,1039,1498394,967,True,143.0,1039.0,,
Complex,543,4109,3,213,1087,2570541,773,True,181.0,1369.6666666666667,,
trader_ferg,451,4570,1,451,4570,22812,463,False,451.0,4570.0,,
DefiantNews,737,2696,2,495,1864,88172,351,False,368.5,1348.0,,
YellowBlock_io,1101,3590,2,907,2685,23351,119,False,550.5,1795.0,,
jakepaul,2831,20547,1,2831,20547,4296025,8706,True,2831.0,20547.0,,
RARohde,685,2873,1,685,2873,36882,870,False,685.0,2873.0,,
BitPay,1168,2739,3,331,747,375507,141,True,389.3333333333333,913.0,,
DiepSanh,423,1559,1,423,1559,52260,627,False,423.0,1559.0,,
LatveriasDoom,162,636,1,162,636,8417,530,False,162.0,636.0,,
TechCrunch,514,792,2,158,449,10237108,980,True,257.0,396.0,,
DeepFuckingDefi,1577,840,1,1577,840,8206,1569,False,1577.0,840.0,,
GrantCardone,420,6283,1,420,6283,561203,2030,True,420.0,6283.0,,
javiernavia,154,578,1,154,578,77456,7141,False,154.0,578.0,,
YoungCryptoPM,303,1063,1,303,1063,2394,1185,False,303.0,1063.0,,
Sonjoe_Kutuh,5133,22282,4,229,1325,512677,15269,False,1283.25,5570.5,,
EmmaRincon,193,658,1,193,658,68628,635,True,193.0,658.0,,
knutsvanholm,1174,6910,5,193,2028,45286,1609,False,234.8,1382.0,NT,INTP
BitcoinSapiens,1334,8956,4,202,1215,11647,655,False,333.5,2239.0,,
MariaPesce_,369,4272,1,369,4272,10109,3167,False,369.0,4272.0,,
BITVOLT7,1845,13895,8,222,2409,15536,626,False,230.625,1736.875,NT,ENTP
Techconcatalina,6924,30638,15,1949,2508,169010,855,False,461.6,2042.5333333333333,NT,INTJ
seyitaylor,608,460,2,403,363,52278,2871,True,304.0,230.0,,
TosinOlugbenga,2757,6884,5,653,1150,115487,41405,False,551.4,1376.8,NT,INTP
Cokedupoptions,1465,19892,3,226,3082,166423,1583,False,488.3333333333333,6630.666666666667,NF,INFP
bigd3bs,273,375,1,273,375,75748,36835,False,273.0,375.0,,
RampCapitalLLC,1242,15173,3,723,8636,284571,459,False,414.0,5057.666666666667,,
Reuters,7330,28620,17,314,2270,25046282,1213,True,431.1764705882353,1683.5294117647059,NF,INFJ
EricRWeinstein,2021,17189,4,182,1452,655956,959,True,505.25,4297.25,,
_bitcoiner,10799,4683,19,509,213,20754,1330,False,568.3684210526316,246.47368421052633,SP,ESFP
hiropi_fx,249,1461,1,249,1461,30012,705,False,249.0,1461.0,,
VentureCoinist,2805,16647,6,749,3491,311365,1800,True,467.5,2774.5,NF,INFJ
thecryptomonk,1618,9599,2,935,5524,153474,767,False,809.0,4799.5,,
decryptmedia,168,604,1,168,604,108099,1454,True,168.0,604.0,,
MacroScope17,3678,20297,11,252,910,54697,572,False,334.3636363636364,1845.1818181818182,NF,INFJ
sk_cadi,178,641,1,178,641,10222,5059,False,178.0,641.0,,
HaileyLennonBTC,2904,23784,4,249,901,79602,1731,True,726.0,5946.0,,
DeadlineDayLive,515,1308,1,515,1308,1168867,180,False,515.0,1308.0,,
EmekaNwaGuy,203,202,2,107,107,3423,2739,False,101.5,101.0,,
JamesFourM,166,949,1,166,949,50320,1260,False,166.0,949.0,,
RyanWatkins_,948,4965,3,470,2145,63495,1122,False,316.0,1655.0,,
RealRBHJr,157,639,1,157,639,40299,154,False,157.0,639.0,,
CoinPaymentsNET,1339,1601,1,1339,1601,37245,539,False,1339.0,1601.0,,
NobotoGen,211,1656,1,211,1656,26837,470,False,211.0,1656.0,,
chrismelberger,1532,51281,1,1532,51281,146433,903,True,1532.0,51281.0,,
onybose,172,1260,1,172,1260,608,421,False,172.0,1260.0,,
BitsonicGlobal,239,168,1,239,168,999,516,False,239.0,168.0,,
Earth_Jennie,312,613,1,312,613,23479,130,False,312.0,613.0,,
OlamideQuadri4,508,730,2,260,450,27573,14129,False,254.0,365.0,,
Andrewstotle,182,749,1,182,749,801,409,False,182.0,749.0,,
willcole,418,2767,1,418,2767,6061,465,False,418.0,2767.0,,
ipvkyte,1643,3615,1,1643,3615,295,515,False,1643.0,3615.0,,
smdiehl,6807,21563,11,264,1983,54553,3065,False,618.8181818181819,1960.2727272727273,NF,ENFP
SalesNotepad,383,1936,1,383,1936,159201,287,False,383.0,1936.0,,
JacobOracle,1111,3046,2,316,1073,39825,636,False,555.5,1523.0,,
surayaror,501,1060,1,501,1060,45678,2012,False,501.0,1060.0,,
dril,1255,16161,1,1255,16161,1672000,366,False,1255.0,16161.0,,
lisekimhorton,492,1084,1,492,1084,4637,4245,False,492.0,1084.0,,
robertcaruso,191,411,1,191,411,14517,1808,True,191.0,411.0,,
JuliaDavisNews,854,1577,2,169,258,257607,1626,True,427.0,788.5,,
RedTRaccoon,300,767,1,300,767,250020,44711,False,300.0,767.0,,
MingGao26,953,3130,4,316,911,50221,33973,False,238.25,782.5,,
Crypto_Fridays,253,194,1,253,194,47632,238,False,253.0,194.0,,
denverbitcoin,2955,15671,9,164,1497,44076,1032,False,328.3333333333333,1741.2222222222222,NF,INFP
NickKristof,416,628,1,416,628,2003720,3229,True,416.0,628.0,,
Mpolymer,583,1129,1,583,1129,26782,1927,True,583.0,1129.0,,
dobuybitcoin,1852,2118,2,783,845,31552,1494,False,926.0,1059.0,,
WSJ,2612,6692,4,199,335,19750000,1066,True,653.0,1673.0,,
klever_io,13610,17730,5,6664,8363,272045,5074,True,2722.0,3546.0,SP,ISFP
RealSpikeCohen,461,3182,1,461,3182,103491,278,True,461.0,3182.0,,
DrDenaGrayson,215,378,1,215,378,321956,462,True,215.0,378.0,,
splendidland,1073,4954,1,1073,4954,32267,858,False,1073.0,4954.0,,
YourAnonCentral,3896,21856,5,307,1219,5630869,671,False,779.2,4371.2,NT,INTP
SethAbramson,1573,4828,1,1573,4828,940769,17,True,1573.0,4828.0,,
brianschatz,1606,6124,2,780,1742,399736,3108,True,803.0,3062.0,,
FrankFigliuzzi1,5826,10760,1,5826,10760,491111,2994,True,5826.0,10760.0,,
MrShawnRogers,199,176,1,199,176,14544,639,False,199.0,176.0,,
hodloncomrades,158,1712,1,158,1712,15106,140,False,158.0,1712.0,,
sparrowmedia,177,354,1,177,354,55078,4197,False,177.0,354.0,,
donwinslow,1121,1925,1,1121,1925,804666,27923,True,1121.0,1925.0,,
jjmacnab,321,533,1,321,533,75048,116,True,321.0,533.0,,
Y2K_mindset,2854,38596,1,2854,38596,2901,2032,False,2854.0,38596.0,,
Quicktake,2157,7060,2,1439,4699,1273284,1551,True,1078.5,3530.0,,
ABC7,125,666,1,125,666,1173817,487,True,125.0,666.0,,
AKiyoshi0605,202,200,1,202,200,18808,15012,False,202.0,200.0,,
LizBitcoin,745,8678,3,218,2188,77853,603,False,248.33333333333334,2892.6666666666665,,
camilladelucas,202,2111,1,202,2111,2664876,2728,True,202.0,2111.0,,
tim_bitcoin,215,1266,1,215,1266,2370,581,False,215.0,1266.0,,
Ujbaby12,74,171,1,74,171,16827,5280,False,74.0,171.0,,
IGN,951,9192,2,455,4660,8790816,1387,True,475.5,4596.0,,
DeribitExchange,222,1697,1,222,1697,47662,728,False,222.0,1697.0,,
dealsandcoins,230,1709,1,230,1709,13498,600,False,230.0,1709.0,,
Rothbard1776,196,1182,1,196,1182,181454,475,False,196.0,1182.0,,
btcdarwinist,531,4689,1,531,4689,901,917,False,531.0,4689.0,,
PrisonPlanet,188,572,1,188,572,1200701,803,True,188.0,572.0,,
alispagnola,727,4565,1,727,4565,2423204,1434273,True,727.0,4565.0,,
ClayTravis,148,897,1,148,897,897507,486,True,148.0,897.0,,
ParikPatelCFA,8696,111814,20,208,3965,467118,504,False,434.8,5590.7,SP,ISFP
MRKR,4002,14825,4,496,1758,15490,33,True,1000.5,3706.25,,
PatrickAdemo,1195,13042,1,1195,13042,761543,993,False,1195.0,13042.0,,
najihahshahrel,201,559,1,201,559,60790,1028,False,201.0,559.0,,
Erikcason,229,1268,1,229,1268,13945,1627,False,229.0,1268.0,,
ashgoblue,447,1471,2,170,595,46370,1057,True,223.5,735.5,,
nytimes,3897,10270,4,2697,7433,52690056,878,True,974.25,2567.5,,
LisaKramer,301,1212,1,301,1212,4773,236,True,301.0,1212.0,,
ameero1,187,1304,1,187,1304,3573,681,False,187.0,1304.0,,
laevitas1,176,946,1,176,946,17506,318,False,176.0,946.0,,
gustavo_srcc,1105,25387,1,1105,25387,19060,5626,False,1105.0,25387.0,,
gyaigyimii,274,3502,2,126,1773,823964,20481,True,137.0,1751.0,,
alamin_ghost,429,1325,2,258,1141,95399,9480,False,214.5,662.5,,
Buffettsbroker,555,2632,1,555,2632,913,16,False,555.0,2632.0,,
DaveInTheCut_,102,458,1,102,458,3033,315,False,102.0,458.0,,
btc_quotes,191,971,1,191,971,8302,2,False,191.0,971.0,,
litcapital,820,8413,4,208,2012,219567,879,True,205.0,2103.25,NT,INTP
izzy9821,107,528,1,107,528,2621,2830,False,107.0,528.0,,
canalCCore2,297,2041,1,297,2041,45121,748,False,297.0,2041.0,,
HTDcris,512,3222,1,512,3222,487,933,False,512.0,3222.0,,
Mochievous,166,848,1,166,848,399503,1,True,166.0,848.0,,
Kingston_eze,67,166,1,67,166,25391,7863,False,67.0,166.0,,
kusssman,242,1046,1,242,1046,68248,9999,False,242.0,1046.0,,
logos_id,826,4107,1,826,4107,147205,140,False,826.0,4107.0,,
eliasimos,290,1121,1,290,1121,15785,617,False,290.0,1121.0,,
MaximilianXCIX,185,1098,1,185,1098,105,140,False,185.0,1098.0,,
ShutupRuss,4329,19945,1,4329,19945,2137,1267,False,4329.0,19945.0,,
lemasabachthani,126,318,1,126,318,15753,999,False,126.0,318.0,,
billbarhydt,1300,6921,4,431,2757,41484,239,False,325.0,1730.25,NF,ENFP
murdabeatz,690,4766,2,527,3465,334401,963,True,345.0,2383.0,,
didikins4life,193,198,1,193,198,31643,27228,False,193.0,198.0,,
JoelKatz,270,3707,1,270,3707,360285,860,True,270.0,3707.0,,
primalpoly,179,848,1,179,848,119208,5666,True,179.0,848.0,,
KotaTheFriend,266,2319,1,266,2319,101445,816,True,266.0,2319.0,,
PrasagaOfficial,2298,2701,1,2298,2701,29367,951,False,2298.0,2701.0,,
michaelbatnick,2660,24309,3,1301,9082,181686,1267,True,886.6666666666666,8103.0,,
IIICapital,1779,12977,6,248,1460,28724,866,False,296.5,2162.8333333333335,NF,INFP
asemota,804,2214,3,202,650,221545,8158,True,268.0,738.0,,
luis_villegasr,583,175,1,583,175,5190,968,False,583.0,175.0,,
stacyherbert,1330,9354,6,212,1276,174852,2352,False,221.66666666666666,1559.0,SJ,ISFJ
ICOffender,741,3227,4,185,894,12963,2808,False,185.25,806.75,,
btc_racing,287,145,1,287,145,6421,884,False,287.0,145.0,,
CryptSpecialist,439,253,1,439,253,9024,85,False,439.0,253.0,,
ThaGuru_,493,1933,1,493,1933,2989,4983,False,493.0,1933.0,,
aiautosng,303,459,3,84,112,5332,4960,False,101.0,153.0,,
GbengaGOLD,140,268,1,140,268,59096,4926,False,140.0,268.0,,
kigyo_seiko,121,102,1,121,102,1756,1912,False,121.0,102.0,,
twetchapp,345,294,1,345,294,24244,761,False,345.0,294.0,,
saxena_puru,248,1362,1,248,1362,282361,80,False,248.0,1362.0,,
Jestopher_BTC,268,1809,1,268,1809,4238,1744,False,268.0,1809.0,,
KelvinOssai,913,3068,2,582,1895,48172,15658,False,456.5,1534.0,,
ChainlenkMyses,808,806,1,808,806,3332,1106,False,808.0,806.0,,
bfmbusiness,378,1233,1,378,1233,219134,1569,True,378.0,1233.0,,
JasonYanowitz,9684,51482,12,2709,7110,72354,7452,True,807.0,4290.166666666667,NF,ENFP
BTC_JackSparrow,2195,15649,5,398,2816,245178,882,False,439.0,3129.8,NT,INTP
techwithcatalin,162,1007,1,162,1007,11337,317,False,162.0,1007.0,,
GaryLeland,1448,10130,3,816,6697,18224,1028,False,482.6666666666667,3376.6666666666665,,
WavesMediaNG,636,1875,1,636,1875,587,401,False,636.0,1875.0,,
Zlatan_Ibile,553,6335,1,553,6335,1159472,898,True,553.0,6335.0,,
Nerd_Stack,185,785,1,185,785,4982,3737,False,185.0,785.0,,
paoloardoino,813,4222,2,371,1688,121597,443,True,406.5,2111.0,,
VictoryAlex4,55,346,1,55,346,19835,13970,False,55.0,346.0,,
Uncle_sarm,228,1628,1,228,1628,36184,16435,False,228.0,1628.0,,
FIREBTC1,134,137,1,134,137,1153,765,False,134.0,137.0,,
Xenos_Giveaway,1134,375,2,208,135,224394,517,False,567.0,187.5,,
KatusaResearch,208,1324,1,208,1324,25903,305,False,208.0,1324.0,,
Naija_PR,569,3196,2,346,1928,1668712,199854,True,284.5,1598.0,,
russdiemon,576,12355,1,576,12355,2194961,408,True,576.0,12355.0,,
greentoepalacio,323,389,1,323,389,24334,1526,False,323.0,389.0,,
iaboyeji,447,821,2,137,405,161420,6736,True,223.5,410.5,,
JE_dna,119,198,1,119,198,10142,642,False,119.0,198.0,,
_EmpressSara,216,426,1,216,426,4011,825,False,216.0,426.0,,
tobias31,5274,54635,1,5274,54635,249281,871,True,5274.0,54635.0,,
XaviercMiller,734,4091,5,105,487,61255,822,False,146.8,818.2,NF,INFP
zzabbits,196,4187,1,196,4187,21696,1710,False,196.0,4187.0,,
swoph,185,2061,1,185,2061,70787,540,False,185.0,2061.0,,
KoroushAK,2650,24478,7,241,2740,311674,205,False,378.57142857142856,3496.8571428571427,NT,ENTP
AmgMedikal,358,3255,1,358,3255,312358,609,True,358.0,3255.0,,
breakchainsmag,140,533,1,140,533,2775,102,False,140.0,533.0,,
ecoinometrics,2350,10204,5,565,2389,80375,92,False,470.0,2040.8,NF,INFJ
TheGod0fThunder,1442,976,3,516,272,82582,681,False,480.6666666666667,325.3333333333333,,
CoinMarketCap,14439,45936,15,513,2343,5244303,1847,True,962.6,3062.4,SP,ESFP
IwanRabbinstein,208,755,1,208,755,7051,4764,False,208.0,755.0,,
No_Limits060,163,1784,1,163,1784,1193,715,False,163.0,1784.0,,
obi,793,2974,2,396,1511,10730,464,False,396.5,1487.0,,
ReutersTech,392,1080,1,392,1080,203561,395,True,392.0,1080.0,,
Grayscale,304,717,1,304,717,571330,421,True,304.0,717.0,,
0liminati,136,249,1,136,249,14307,11693,False,136.0,249.0,,
tracyalloway,957,6869,4,246,1073,163448,4348,True,239.25,1717.25,SP,ESFP
AlexSaundersAU,1538,10401,4,288,1687,116617,3120,True,384.5,2600.25,NF,INFP
gregory_raymond,2056,6775,7,319,958,129350,1793,True,293.7142857142857,967.8571428571429,NF,INFJ
garciabanchs,978,2412,3,193,488,361890,2092,True,326.0,804.0,,
RCachanosky,354,1344,2,197,1010,285862,1137,False,177.0,672.0,,
savannahbrown,725,4959,1,725,4959,263684,334,True,725.0,4959.0,,
ajv,362,123,1,362,123,90558,5936,True,362.0,123.0,,
Diditaihuttu,2124,5626,5,360,310,54527,2485,False,424.8,1125.2,NF,INFJ
cakman4,453,3723,1,453,3723,134070,1943,False,453.0,3723.0,,
Blockstream,1614,5911,5,155,603,193498,905,True,322.8,1182.2,SP,ESFP
Froste,253,5966,1,253,5966,220963,1272,True,253.0,5966.0,,
danorlovsky7,265,3204,1,265,3204,426766,904,True,265.0,3204.0,,
MKBHD,4324,103061,2,1361,39117,5836844,428,True,2162.0,51530.5,,
Bitvarna,350,1795,1,350,1795,1264,910,False,350.0,1795.0,,
Valeezy,257,506,1,257,506,1567,1450,False,257.0,506.0,,
iamchrisani,406,348,1,406,348,90657,1068,False,406.0,348.0,,
dmuthuk,381,4602,1,381,4602,413436,93,False,381.0,4602.0,,
dlacalle_IA,449,2226,1,449,2226,125943,13630,True,449.0,2226.0,,
Morris_Monye,1228,3241,3,150,620,163294,34547,False,409.3333333333333,1080.3333333333333,,
HSouthwellFE,175,523,1,175,523,17681,2366,True,175.0,523.0,,
ThomasEWoods,285,3720,1,285,3720,135958,4515,False,285.0,3720.0,,
thenoelmiller,709,23709,1,709,23709,872907,713,True,709.0,23709.0,,
typerbole,553,2302,2,406,1756,6495,383,False,276.5,1151.0,,
chamath,5721,61071,4,381,9582,1571100,716,True,1430.25,15267.75,NF,INFP
the_ironsheik,174,2006,1,174,2006,613715,1322,True,174.0,2006.0,,
austin_rief,187,2540,1,187,2540,119060,954,True,187.0,2540.0,,
dammie_remix,141,747,1,141,747,2585,2521,False,141.0,747.0,,
noahkaufmanmd,217,1910,1,217,1910,10709,938,False,217.0,1910.0,,
oloye__,1949,5470,3,1371,4261,65126,503,False,649.6666666666666,1823.3333333333333,,
jsblokland,381,1642,1,381,1642,95027,777,True,381.0,1642.0,,
Burmese_Tyga_,226,599,1,226,599,14994,2942,False,226.0,599.0,,
HigherManas,355,2419,1,355,2419,30825,3516,False,355.0,2419.0,,
BBCWorld,2164,7097,7,220,883,36068594,18,True,309.14285714285717,1013.8571428571429,NF,INFJ
orangebook_,1758,8310,2,498,3076,376279,123,False,879.0,4155.0,,
StatsBTC,863,4545,4,197,1462,5259,113,False,215.75,1136.25,NF,INFP
ChefGruel,156,471,1,156,471,132451,5295,True,156.0,471.0,,
Croesus_BTC,1997,13243,8,138,1084,35522,299,False,249.625,1655.375,NF,INFP
tuihane_,850,828,1,850,828,1853,1263,False,850.0,828.0,,
yaneuraou,2519,5366,2,412,769,10443,0,False,1259.5,2683.0,,
technology,648,1742,2,432,1268,433183,258,True,324.0,871.0,,
avcemilcicek,435,1863,1,435,1863,56495,1378,False,435.0,1863.0,,
MoneyKripto,2842,4197,2,891,1362,41152,314,False,1421.0,2098.5,,
cryptoBaddiee,1063,1159,2,385,393,41803,113,False,531.5,579.5,,
crypto_bitlord7,3225,17088,5,1791,1489,204070,491,False,645.0,3417.6,SP,ISTP
BP_VotingTeam,273,715,1,273,715,168459,164,False,273.0,715.0,,
ChipotleTweets,4341,31538,2,763,6980,1136353,24,True,2170.5,15769.0,,
TylerSCrypto,29256,13809,9,5515,714,78295,671,False,3250.6666666666665,1534.3333333333333,NF,INFP
Bitboy_Crypto,42805,91683,23,501,1336,832142,648,True,1861.0869565217392,3986.217391304348,NF,INFJ
JamesB_65,332,189,1,332,189,159893,16025,False,332.0,189.0,,
