Usuario,Quantidade_Retweets,Quantidade_Likes,Quantidade_Publicacoes,Maior_N_Retweets,Maior_N_Likes,Seguidores,Amigos,Verificado,RN,LN,MACRO,Personalidade
BlockRating,1102,908,1,1102,908,3083,691,False,1102.0,908.0,,
1MillionTokens,7380,5372,4,388,339,40445,2865,False,1845.0,1343.0,NF,INFJ
lawmaster,1621,9213,6,481,1761,161942,2207,True,270.1666666666667,1535.5,NT,INTJ
SamouraiWallet,264,836,2,125,250,39658,1836,False,132.0,418.0,,
LooneyTunes,334,2022,1,334,2022,87006,117,True,334.0,2022.0,,
longtunman,3361,474,2,2394,264,143444,0,False,1680.5,237.0,,
LuchoPoletti,1021,1824,3,205,546,20221,3349,False,340.3333333333333,608.0,,
CryptoTownEU,20808,14608,6,5514,4080,1418539,52,False,3468.0,2434.6666666666665,NF,INFJ
kaparthi_j,428,398,1,428,398,9126,609,False,428.0,398.0,,
SimonDixonTwitt,413,1640,2,198,805,50912,153,False,206.5,820.0,,
BohrBitcoin,332,965,1,332,965,461,492,False,332.0,965.0,,
HukAleksandra,4451,36610,7,359,431,175093,272,False,635.8571428571429,5230.0,NF,INFP
theasiwaju247,436,1292,1,436,1292,2498,864,False,436.0,1292.0,,
cryptopigmedia,372,397,1,372,397,11485,37,False,372.0,397.0,,
byeagle37,8949,5521,15,564,383,58860,7150,False,596.6,368.06666666666666,SP,ISTP
BigMan_Xander,50,34,1,50,34,295456,20982,False,50.0,34.0,,
black_bhoy_,127,136,1,127,136,75082,16482,False,127.0,136.0,,
Ibrahim_Bello_,449,577,2,334,440,11150,5123,False,224.5,288.5,,
sametoolz,84,78,1,84,78,188402,8408,False,84.0,78.0,,
Sweepsgg,149914,84226,120,852,614,308613,1114,False,1249.2833333333333,701.8833333333333,NT,INTP
jbarro,219,1947,1,219,1947,287575,1830,True,219.0,1947.0,,
axios,316,1312,1,316,1312,627963,985,True,316.0,1312.0,,
BTC_Archive,432898,3217602,928,286,1622,981487,531,False,466.48491379310343,3467.2435344827586,NT,INTJ
biancoresearch,1137,5919,4,234,1154,181690,1058,False,284.25,1479.75,,
kacperski719,789,624,1,789,624,4771,2575,False,789.0,624.0,,
gonnassau,1741,6466,1,1741,6466,30457,4874,False,1741.0,6466.0,,
NextWaveEFT,262,946,1,262,946,6215,149,False,262.0,946.0,,
cissan_9984,283,2931,1,283,2931,541160,184,False,283.0,2931.0,,
Life_After_18,519,2234,1,519,2234,37307,12086,False,519.0,2234.0,,
ki_young_ju,9129,47240,21,635,2509,289855,1193,False,434.7142857142857,2249.5238095238096,NT,INTP
Psolemn,112296,65655,37,539,180,334851,794,False,3035.027027027027,1774.4594594594594,NF,INFP
Leishman,353,3452,2,184,2501,14325,1384,False,176.5,1726.0,,
mainakTdas,467,1243,1,467,1243,92,122,False,467.0,1243.0,,
NischalShetty,404,1288,1,404,1288,474149,13458,True,404.0,1288.0,,
0xglitch_,892,940,5,200,205,610,555,False,178.4,188.0,,
ObongRoviel,2416,8980,4,693,3474,514006,8125,False,604.0,2245.0,NT,INTP
