Quantidade_Retweets,Quantidade_Likes,Quantidade_Publicacoes,MACRO
12.659228901412016,14.75734661193942,486,NT
8.704502289721232,10.589056087572523,20,SP
9.782167017299573,11.669775355790513,43,NF
5.62040086571715,5.932245187448011,1,
11.468660048672213,13.422707941059274,106,NF
5.402677381872279,7.742835955430749,1,
6.0063531596017325,5.908082938168931,1,
5.43372200355424,6.645090969505644,1,
9.07383312732152,11.21388580527766,32,NF
11.762212283483509,12.125166231636449,14,NF
10.387301627055269,10.138085253895454,107,SP
11.97918459231098,13.76250738150859,223,NT
6.918695219020472,6.964135612418245,2,
7.456454555176209,9.054154288786854,3,
11.50492353475117,13.654741860622106,204,NT
10.944735523814668,12.782935978589375,29,NF
7.113142108707088,8.716863386544805,4,NF
9.369052063131004,11.26045608427419,29,NT
10.39488567863602,11.66708757330361,80,NT
12.012730585452754,13.818607756688749,237,NF
8.683554728631462,10.058823244245096,12,NF
7.656337166430183,9.757305042358047,8,NF
5.44673737166631,6.259581464064923,1,
10.288783966353765,12.148920114025865,14,NT
11.88399234635594,12.745517795604693,25,SP
7.135687347028144,8.776321456449958,4,NF
8.995536944936974,10.552055689698106,31,NF
8.398184404834035,8.709630081951286,17,NT
6.042632833682381,5.529429087511423,1,
5.1298987149230735,5.652489180268651,1,
4.8283137373023015,5.111987788356544,1,
6.327936783729195,5.739792912179234,1,
5.0689042022202315,7.267525427828172,1,
7.365180126021013,9.47378098005493,3,
9.698552220870587,11.014621121757909,57,NT
10.094479743833253,11.404850156483693,18,NF
8.850230965588816,10.574261304119181,19,SJ
5.5134287461649825,6.483107351457199,1,
8.90815361332152,10.784544811638616,27,NF
10.105693432635459,11.455571737940254,34,NF
7.796880342783522,9.0953783535065,5,NF
11.689220565768332,13.76172890702602,251,NT
5.777652323222656,5.905361848054571,1,
9.210840247017833,8.9445502459405,1,
9.18266080286944,11.42712789647147,22,NF
8.387995252944556,10.380342656730965,16,SJ
7.812782818577581,9.696770838907451,8,NF
5.7430031878094825,7.338888133838879,1,
7.905072849498666,7.252762418053187,5,NF
6.849066282633458,8.537387898701757,5,NF
5.365976015021851,4.812184355372417,1,
6.234410725718371,8.429454277108231,2,
5.755742213586912,6.180016653652572,1,
6.784457062637643,6.872128101338986,2,
9.524128691512443,11.389751675273558,50,NT
8.869257522797287,8.871084263978354,6,NF
7.515889085215125,7.783224016336037,1,
9.190137664658664,10.763419550740899,22,NF
6.949856455000773,9.109303827798412,5,NF
9.25540933534376,11.147152112903377,34,NT
10.920871708970335,12.786233082314446,113,NF
10.372115235601932,12.232402940776204,47,NF
10.908320156261581,12.97035140890269,110,NF
5.820082930352362,5.934894195619588,1,
6.259581464064923,6.171700597410915,1,
6.311734809152915,8.223090551161533,3,
9.337149218839878,11.129979878291934,38,NF
7.1693500166706,8.754476306284166,6,NT
8.270781013162674,9.678717679477334,13,NF
6.776506992372183,8.392989587956931,3,NF
9.7997368515422,12.151014377779969,60,SJ
7.708859601047175,9.517383797906584,8,NF
8.340456012916183,9.665357258913595,13,NF
8.25088114470065,9.871532381294577,7,NF
6.5722825426940075,7.765569081097317,2,
5.53338948872752,7.167809184316444,1,
8.765770543987257,10.6361678974314,24,NF
6.0112671744041615,7.4673710669175595,1,
6.836259277277067,8.19118600464279,2,
6.421622267806518,8.436416881388949,2,
6.7357800142423265,8.291045131081729,4,NF
6.066108090103747,5.384495062789089,1,
12.05583098219963,13.481231514535661,132,NF
7.8013913202914855,9.75021981613291,6,NT
6.584791392385716,8.477620416296414,4,NF
8.317033476492403,10.489800910432063,11,NF
7.526717561352706,8.613593685702552,4,NF
6.061456918928017,6.863803391452954,1,
8.876544550558378,8.76795190976342,16,NF
4.890349128221754,5.438079308923196,1,
6.664409020350408,7.926241523170962,1,
5.030437921392435,6.532334292222349,1,
5.942799375126701,5.976350909297934,2,
5.442417710521793,6.710523109452428,1,
6.812345094177479,8.596558746796978,2,
6.504288173536645,8.307212626628308,2,
10.176943917723927,12.20161271480808,56,NF
6.62273632394984,5.552959584921617,2,
6.16541785423142,5.003946305945459,1,
8.675563527387679,10.050613617426421,15,NT
6.47543271670409,6.089044875446846,1,
5.176149732573829,6.650279048587422,1,
5.662960480135946,5.68697535633982,1,
6.897704943128636,8.971067438732089,4,NF
7.794411205726601,9.494014423030425,10,NF
7.721348612617949,9.47738596957752,4,NF
9.271059107010888,11.214667666146262,21,NF
8.492490578775866,8.848509300888079,4,NT
9.073030421011577,10.740800010026575,20,NF
7.392031567514591,8.424419791263883,4,NT
7.273786317844895,8.610319169405722,4,SJ
9.890503624977834,11.235800799789505,63,NT
5.872117789475416,6.975413927455952,1,
5.0238805208462765,6.456769655572163,1,
5.093750200806762,5.676753802268282,1,
10.233043066543942,12.355393107184714,37,NT
6.320768294250582,6.6052979209482015,2,
10.220085016401597,10.099383229357201,7,NF
6.202535517187923,6.324358962381311,1,
5.087596335232384,4.812184355372417,1,
5.476463551931511,7.934871565945177,1,
7.497207223203318,8.957639268419648,6,NT
4.867534450455582,6.068425588244111,1,
5.981414211254481,6.018593214496234,1,
4.804021044733257,5.683579767338681,1,
4.8283137373023015,5.676753802268282,1,
4.795790545596741,5.872117789475416,1,
5.666426688112432,5.517452896464707,1,
5.393627546352362,5.883322388488279,1,
8.106212902619962,9.808187372681804,11,NF
5.648974238161206,5.8998973535824915,1,
7.5406215286571525,9.82752401372909,7,NF
9.122164681072457,8.897272113133987,2,
5.713732805509369,7.029972911706386,2,
6.293419278846481,6.278521424165844,1,
6.53813982376767,8.677269139262872,3,
6.259581464064923,7.547501682814967,2,
5.517452896464707,6.779921907472252,1,
6.683360945766275,7.1846291527173145,1,
6.7912214627261855,8.977651407818442,4,NF
7.523481312573497,9.032289682032873,6,NF
6.161207321695077,6.1903154058531475,1,
4.852030263919617,5.75890177387728,1,
9.11679862756782,10.956160609262792,17,NF
8.38776764397578,8.220133957151859,7,SP
6.315358001522335,5.43372200355424,1,
5.342334251964811,6.606650186198215,1,
6.329720905522696,7.826443135456014,2,
6.779921907472252,5.8888779583328805,2,
7.3632795869630385,7.707512194600341,1,
6.411818267709897,6.663132695990803,1,
8.94910546953925,10.71159155655226,23,NF
5.365976015021851,6.439350371100098,1,
8.316789127071518,9.675582684120208,13,NT
6.902742737158593,9.057072635572965,3,
6.983789965258135,8.85879510585745,3,
7.61972421378267,9.529884417576708,7,NF
8.13505390861157,10.160568654878034,12,NF
10.599605316540906,12.769182322719852,96,NF
5.147494476813453,7.3537223303996315,1,
9.445017159104065,9.48006211905097,28,NF
9.795568210316635,9.51576412590412,6,SP
10.284318379685931,12.185073702934115,48,NF
9.579279798734897,11.377689763693581,53,NT
5.541263545158426,7.592870287844818,1,
4.61512051684126,4.990432586778736,1,
7.353081920515432,9.439227397917458,4,NT
11.087176013559358,10.807462758687635,46,NF
10.962821793074005,13.117107589918556,151,NF
7.383989457978509,8.008032846969307,1,
8.870101048785726,10.72608280028296,29,NT
9.129672468908728,11.080279275600228,42,NF
5.641907070938114,5.926926025970411,1,
9.20230820027892,9.95408560529922,22,NT
5.60947179518496,5.75890177387728,3,
5.37989735354046,7.101675971619444,1,
6.440946540632921,8.832733591996416,1,
6.942156705699469,6.331501849893691,2,
8.760296220470051,10.50152703279139,12,NT
5.762051382780177,6.7226297948554485,1,
8.328692583545568,10.084933726294128,17,NF
5.209486152841421,6.26530121273771,1,
9.676649685633647,11.87078171089694,31,NT
9.691036630760662,11.45434250753793,25,NF
8.363342466597977,9.842356552531896,14,NF
11.363473727799436,13.095033289732372,54,NF
8.818334283552174,9.016998311898762,3,
5.225746673713202,5.537334267018537,1,
6.124683390894205,8.200288260287554,2,
8.704502289721232,10.969783239727695,5,NT
6.386879319362645,7.457609289715606,1,
10.029899914890565,11.998494817320054,70,NF
8.099857910737585,9.883998875952265,13,NT
6.529418838262226,8.421562960400987,2,
9.043340831280013,10.42774259661378,31,SP
5.69035945432406,6.665683717782408,1,
6.6052979209482015,7.7057128238944275,1,
9.330165765044532,11.232470546942904,25,NF
6.100318952020064,5.991464547107982,1,
8.396831834745054,8.357493812658563,8,NF
9.031333316150057,11.503541573659888,4,NT
7.1252830915107115,8.808668062106715,1,
5.123963979403259,6.396929655216146,1,
6.963189985870238,8.994296557777195,2,
8.216088098632316,10.450915078746668,7,NF
5.961005339623274,8.054204897064407,1,
9.225228984469933,11.046419711019633,27,NF
5.529429087511423,5.356586274672012,1,
5.043425116919247,6.844815479208263,1,
7.173958319756794,9.042749779782222,5,NF
10.056251557087757,11.67066398650333,59,NT
7.753194269884341,9.907877900837422,6,NT
5.017279836814924,6.92951677076365,1,
5.327876168789581,5.910796644040527,1,
7.319202458767849,8.541690663016626,3,
6.464588303689961,7.57095858316901,2,
7.400620577371135,7.053585727193677,3,
7.927324360309794,9.040144994980068,6,SP
4.983606621708336,6.576469569048224,1,
8.950792138768174,11.076341137803194,18,NF
9.406811351874557,10.812411214064715,28,NF
6.3473892096560105,7.313886831633462,2,
5.641907070938114,8.253227645581772,1,
5.545177444479562,5.594711379601839,1,
6.320768294250582,7.474204806496124,1,
5.583496308781699,6.683360945766275,1,
6.2878585601617845,7.44716835960004,3,
12.762380109850115,14.544352048913916,668,NT
6.3561076606958915,6.2285110035911835,2,
5.111987788356544,7.426549072397305,1,
7.234898420314831,6.180016653652572,4,NF
4.948759890378168,7.3098814858247865,1,
9.070848393157585,11.08038716293513,32,NT
6.259581464064923,8.50976567558744,1,
5.808142489980444,8.33302993974291,1,
5.7430031878094825,6.645090969505644,1,
8.712101863715663,10.417926639871954,12,NT
7.8655717576847906,9.438590860658538,5,NT
5.147494476813453,5.937536205082426,1,
7.499423290592229,9.235032984566555,2,
6.202535517187923,8.0702808933939,1,
8.835210463664092,10.26722748059698,10,NF
7.925157512224703,10.335594591590713,9,NT
5.176149732573829,5.54907608489522,1,
7.970394907191429,9.499571244417814,7,NF
6.1070228877422545,8.326274787396764,2,
8.809862805379057,10.596584731846031,22,NT
6.405228458030842,6.787844982309579,1,
7.0326242610280065,8.560635749259074,4,NT
6.0330862217988015,8.55159461813357,1,
